sep=,
Start Date, End Date, Command, Steps, Times, Error List
2018-07-24 13:53:40.044","2018-07-24 13:53:40.053","Load Repositories Jar","1 - Add jar cm-casasreligiosas.jar
2 - Add jar DigitalNZ.jar
3 - Add jar Europeana.jar
4 - Add jar Fitzwilliam.jar
","1 - 2018-07-24 13:53:40.044
2 - 2018-07-24 13:53:40.048
3 - 2018-07-24 13:53:40.049
4 - 2018-07-24 13:53:40.051
",""
2018-07-24 14:01:27.508","2018-07-24 14:01:27.509","List Repositories","","",""
2018-07-24 14:01:17.818","2018-07-24 14:01:31.073","Rest searchByTerm
Term: cup
DisableCombine: true
isDisableRelation: false
Repositories :","1 - Call to repository: Cultura Casas Religiosas
2 - Call to repository: Europeana
3 - Call to repository: The Fitzwilliam Museum
4 - Call to repository: DigitalNZ
5 - Relation: Locations-Name
6 - Relation: DcTitle
","1 - 2018-07-24 14:01:17.883
2 - 2018-07-24 14:01:17.884
3 - 2018-07-24 14:01:17.884
4 - 2018-07-24 14:01:17.884
5 - 2018-07-24 14:01:31.061
6 - 2018-07-24 14:01:31.061
",""
2018-07-24 14:02:14.819","2018-07-24 14:03:28.050","Rest searchByBox
LatitudeFrom: 44
LatitudeTo: 48
LongitudeFrom: 6
LongitudeTo: 8
DisableCombine: false
isDisableRelation: false
Repositories :","1 - Call to repository: Europeana
2 - Combine: DcRights
3 - Relation: DcTitle
4 - Relation: Locations-Name
","1 - 2018-07-24 14:02:14.860
2 - 2018-07-24 14:03:27.040
3 - 2018-07-24 14:03:27.044
4 - 2018-07-24 14:03:27.051
",""
2018-07-25 00:13:40.915","2018-07-25 00:13:41.424","Load Repositories Jar","1 - Add jar cm-casasreligiosas.jar
2 - Add jar DigitalNZ.jar
3 - Add jar Europeana.jar
4 - Add jar Fitzwilliam.jar
","1 - 2018-07-25 00:13:40.920
2 - 2018-07-25 00:13:41.064
3 - 2018-07-25 00:13:41.174
4 - 2018-07-25 00:13:41.297
",""
2018-07-25 00:13:51.436","2018-07-25 00:14:12.202","Rest searchByTerm
Term: London
DisableCombine: false
isDisableRelation: false
Repositories :","1 - Call to repository: Cultura Casas Religiosas
2 - Call to repository: Europeana
3 - Call to repository: The Fitzwilliam Museum
4 - Call to repository: DigitalNZ
5 - Successful call to The Fitzwilliam Museum
6 - Successful call to Cultura Casas Religiosas
7 - Successful call to DigitalNZ
8 - Successful call to Europeana
9 - Combine: DcRights
10 - Relation: Locations-Name
11 - Relation: DcTitle
","1 - 2018-07-25 00:13:51.552
2 - 2018-07-25 00:13:51.553
3 - 2018-07-25 00:13:51.553
4 - 2018-07-25 00:13:51.554
5 - 2018-07-25 00:13:52.630
6 - 2018-07-25 00:13:53.353
7 - 2018-07-25 00:13:56.613
8 - 2018-07-25 00:14:12.028
9 - 2018-07-25 00:14:12.147
10 - 2018-07-25 00:14:12.169
11 - 2018-07-25 00:14:12.170
",""
2018-07-26 15:25:39.929","2018-07-26 15:25:40.505","Load Repositories Jar","1 - Add jar cm-casasreligiosas.jar
2 - Add jar DigitalNZ.jar
3 - Add jar Europeana.jar
4 - Add jar Fitzwilliam.jar
","1 - 2018-07-26 15:25:39.937
2 - 2018-07-26 15:25:40.169
3 - 2018-07-26 15:25:40.329
4 - 2018-07-26 15:25:40.336
",""
2018-07-26 16:36:34.538","2018-07-26 16:36:34.552","Load Repositories Jar","1 - Add jar cm-casasreligiosas.jar
2 - Add jar DigitalNZ.jar
3 - Add jar Europeana.jar
4 - Add jar Fitzwilliam.jar
","1 - 2018-07-26 16:36:34.539
2 - 2018-07-26 16:36:34.543
3 - 2018-07-26 16:36:34.546
4 - 2018-07-26 16:36:34.550
",""
2018-07-26 16:36:52.933","2018-07-26 16:36:52.933","List Repositories","","",""
2018-07-26 17:12:12.578","2018-07-26 17:12:12.589","Load Repositories Jar","1 - Add jar cm-casasreligiosas.jar
2 - Add jar DigitalNZ.jar
3 - Add jar Europeana.jar
4 - Add jar Fitzwilliam.jar
","1 - 2018-07-26 17:12:12.578
2 - 2018-07-26 17:12:12.584
3 - 2018-07-26 17:12:12.585
4 - 2018-07-26 17:12:12.588
",""
